GO ID,DO name,asimov genes, menchelab genes, both sets equal?
GO:0048477,oogenesis,7,33,FALSE
GO:0048599,oocyte development,4,19,FALSE
GO:2000241,regulation of reproductive process,0,74,FALSE
GO:0051446,positive regulation of meiotic cell cycle,0,11,FALSE
GO:0060184,cell cycle switching,0,2,FALSE
GO:2000243,positive regulation of reproductive process,0,36,FALSE
GO:0051445,regulation of meiotic cell cycle,4,26,FALSE
GO:0051728,cell cycle switching; mitotic to meiotic cell cycle,2,2,TRUE
GO:0051729,germline cell cycle switching; mitotic to meiotic cell cycle,2,2,TRUE
GO:0001578,microtubule bundle formation,31,71,FALSE
GO:0042592,homeostatic process,722,1322,FALSE
GO:0060249,anatomical structure homeostasis,74,285,FALSE
GO:0001894,tissue homeostasis,74,120,FALSE
GO:0001895,retina homeostasis,34,56,FALSE
GO:0048871,multicellular organismal homeostasis,31,345,FALSE
GO:1903564,regulation of protein localization to cilium,6,6,TRUE
GO:0061512,protein localization to cilium,31,37,FALSE
GO:1903827,regulation of cellular protein localization,144,395,FALSE
GO:0060341,regulation of cellular localization,6,612,FALSE
GO:0033365,protein localization to organelle,215,759,FALSE
GO:0034660,ncRNA metabolic process,330,472,FALSE
GO:0009451,RNA modification,69,125,FALSE
GO:0006399,tRNA metabolic process,112,152,FALSE
GO:0008033,tRNA processing,56,90,FALSE
GO:0034470,ncRNA processing,22,304,FALSE
GO:0006400,tRNA modification,40,64,FALSE
GO:0006396,RNA processing,384,764,FALSE
GO:0031591,wybutosine biosynthetic process,3,3,TRUE
GO:1901659,glycosyl compound biosynthetic process,0,27,FALSE
GO:0031590,wybutosine metabolic process,0,3,FALSE
GO:0008333,endosome to lysosome transport,46,51,FALSE
GO:0007041,lysosomal transport,62,91,FALSE
GO:0007034,vacuolar transport,72,114,FALSE
GO:0006004,fucose metabolic process,11,13,FALSE
GO:0005975,carbohydrate metabolic process,220,382,FALSE
GO:0019318,hexose metabolic process,93,162,FALSE
GO:0005996,monosaccharide metabolic process,116,202,FALSE
GO:1902106,negative regulation of leukocyte differentiation,3,65,FALSE
GO:0002683,negative regulation of immune system process,115,284,FALSE
GO:0022408,negative regulation of cell-cell adhesion,30,118,FALSE
GO:0033079,immature T cell proliferation,0,5,FALSE
GO:0070661,leukocyte proliferation,6,193,FALSE
GO:0002695,negative regulation of leukocyte activation,13,104,FALSE
GO:0042130,negative regulation of T cell proliferation,30,35,FALSE
GO:0070664,negative regulation of leukocyte proliferation,5,48,FALSE
GO:0033080,immature T cell proliferation in thymus,0,5,FALSE
GO:0042098,T cell proliferation,10,119,FALSE
GO:0045581,negative regulation of T cell differentiation,8,29,FALSE
GO:0045596,negative regulation of cell differentiation,168,419,FALSE
GO:0045620,negative regulation of lymphocyte differentiation,0,36,FALSE
GO:0042129,regulation of T cell proliferation,98,107,FALSE
GO:0032945,negative regulation of mononuclear cell proliferation,3,44,FALSE
GO:0033085,negative regulation of T cell differentiation in thymus,5,6,FALSE
GO:0050868,negative regulation of T cell activation,10,72,FALSE
GO:1903038,negative regulation of leukocyte cell-cell adhesion,3,79,FALSE
GO:0050866,negative regulation of cell activation,1,119,FALSE
GO:0033083,regulation of immature T cell proliferation,0,5,FALSE
GO:0051250,negative regulation of lymphocyte activation,1,91,FALSE
GO:0070663,regulation of leukocyte proliferation,135,150,FALSE
GO:0051093,negative regulation of developmental process,33,582,FALSE
GO:0050670,regulation of lymphocyte proliferation,129,144,FALSE
GO:1903707,negative regulation of hemopoiesis,0,91,FALSE
GO:0050672,negative regulation of lymphocyte proliferation,2,44,FALSE
GO:0033088,negative regulation of immature T cell proliferation in thymus,3,3,TRUE
GO:0032944,regulation of mononuclear cell proliferation,135,145,FALSE
GO:0032943,mononuclear cell proliferation,3,183,FALSE
GO:0007162,negative regulation of cell adhesion,81,198,FALSE
GO:0046651,lymphocyte proliferation,2,181,FALSE
GO:0033087,negative regulation of immature T cell proliferation,0,3,FALSE
GO:0033084,regulation of immature T cell proliferation in thymus,5,5,TRUE
GO:0090090,negative regulation of canonical Wnt signaling pathway,99,109,FALSE
GO:0016055,Wnt signaling pathway,145,358,FALSE
GO:0030111,regulation of Wnt signaling pathway,45,255,FALSE
GO:0060070,canonical Wnt signaling pathway,62,229,FALSE
GO:0030178,negative regulation of Wnt signaling pathway,124,136,FALSE
GO:0060828,regulation of canonical Wnt signaling pathway,23,193,FALSE
GO:1905114,cell surface receptor signaling pathway involved in cell-cell signaling,146,399,FALSE
GO:0007267,cell-cell signaling,447,1186,FALSE
GO:0198738,cell-cell signaling by wnt,0,360,FALSE
GO:0097502,mannosylation,1,16,FALSE
GO:0035269,protein O-linked mannosylation,10,11,FALSE
GO:0035268,protein mannosylation,2,15,FALSE
GO:0030162,regulation of proteolysis,318,541,FALSE
GO:0034250,positive regulation of cellular amide metabolic process,15,102,FALSE
GO:1902993,positive regulation of amyloid precursor protein catabolic process,1,12,FALSE
GO:0042982,amyloid precursor protein metabolic process,13,43,FALSE
GO:1902991,regulation of amyloid precursor protein catabolic process,3,22,FALSE
GO:0034205,amyloid-beta formation,5,23,FALSE
GO:0050435,amyloid-beta metabolic process,9,32,FALSE
GO:1902003,regulation of amyloid-beta formation,3,18,FALSE
GO:1902004,positive regulation of amyloid-beta formation,8,10,FALSE
GO:0042987,amyloid precursor protein catabolic process,8,30,FALSE
GO:0043551,regulation of phosphatidylinositol 3-kinase activity,33,37,FALSE
GO:0019216,regulation of lipid metabolic process,183,300,FALSE
GO:0006644,phospholipid metabolic process,269,358,FALSE
GO:0043550,regulation of lipid kinase activity,37,44,FALSE
GO:1903725,regulation of phospholipid metabolic process,2,60,FALSE
GO:0098927,vesicle-mediated transport between endosomal compartments,0,39,FALSE
GO:0016482,cytosolic transport,22,149,FALSE
GO:0045022,early endosome to late endosome transport,21,37,FALSE
GO:0042176,regulation of protein catabolic process,9,288,FALSE
GO:1903362,regulation of cellular protein catabolic process,7,190,FALSE
GO:0007339,binding of sperm to zona pellucida,16,24,FALSE
GO:0009988,cell-cell recognition,36,52,FALSE
GO:0007338,single fertilization,20,88,FALSE
GO:0035036,sperm-egg recognition,26,38,FALSE
GO:0008037,cell recognition,86,105,FALSE
GO:0009566,fertilization,32,101,FALSE
GO:0051604,protein maturation,20,264,FALSE
GO:0016485,protein processing,91,212,FALSE
GO:1903317,regulation of protein maturation,0,98,FALSE
GO:0070613,regulation of protein processing,15,96,FALSE
GO:0043900,regulation of multi-organism process,160,302,FALSE
GO:0080154,regulation of fertilization,10,19,FALSE
GO:1905516,positive regulation of fertilization,1,11,FALSE
GO:0043902,positive regulation of multi-organism process,12,133,FALSE
GO:0060046,regulation of acrosome reaction,9,13,FALSE
GO:2000344,positive regulation of acrosome reaction,7,10,FALSE
GO:0007340,acrosome reaction,10,25,FALSE
GO:0010889,regulation of sequestering of triglyceride,0,12,FALSE
GO:0010884,positive regulation of lipid storage,19,19,TRUE
GO:0030730,sequestering of triglyceride,3,15,FALSE
GO:0051235,maintenance of location,60,253,FALSE
GO:0019915,lipid storage,12,53,FALSE
GO:0010883,regulation of lipid storage,41,41,TRUE
GO:0010890,positive regulation of sequestering of triglyceride,7,7,TRUE
GO:1905952,regulation of lipid localization,0,105,FALSE
GO:1905954,positive regulation of lipid localization,0,58,FALSE
GO:0010876,lipid localization,1,259,FALSE
GO:0034389,lipid droplet organization,14,14,TRUE
GO:0016197,endosomal transport,174,194,FALSE
GO:0019058,viral life cycle,29,208,FALSE
GO:0016032,viral process,186,345,FALSE
GO:0036257,multivesicular body organization,31,31,TRUE
GO:0007032,endosome organization,62,69,FALSE
GO:0036258,multivesicular body assembly,30,30,TRUE
GO:0016050,vesicle organization,228,266,FALSE
GO:0019068,virion assembly,10,38,FALSE
GO:0046755,viral budding,24,25,FALSE
GO:0039702,viral budding via host ESCRT complex,21,22,FALSE
GO:0003341,cilium movement,36,51,FALSE
GO:0007389,pattern specification process,150,212,FALSE
GO:0009799,specification of symmetry,32,73,FALSE
GO:0009855,determination of bilateral symmetry,32,72,FALSE
GO:0007368,determination of left/right symmetry,32,66,FALSE
GO:0035082,axoneme assembly,13,51,FALSE
GO:0036158,outer dynein arm assembly,17,19,FALSE
GO:0070286,axonemal dynein complex assembly,30,32,FALSE
GO:1902017,regulation of cilium assembly,37,64,FALSE
GO:0120032,regulation of plasma membrane bounded cell projection assembly,105,159,FALSE
GO:0060491,regulation of cell projection assembly,107,160,FALSE
GO:0016579,protein deubiquitination,237,266,FALSE
GO:0070646,protein modification by small protein removal,247,281,FALSE
GO:0000288,nuclear-transcribed mRNA catabolic process; deadenylation-dependent decay,5,68,FALSE
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,21,29,FALSE
GO:0044089,positive regulation of cellular component biogenesis,53,412,FALSE
GO:0010606,positive regulation of cytoplasmic mRNA processing body assembly,5,5,TRUE
GO:1902117,positive regulation of organelle assembly,5,57,FALSE
GO:0031334,positive regulation of protein complex assembly,98,219,FALSE
GO:0071383,cellular response to steroid hormone stimulus,12,153,FALSE
GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway,25,62,FALSE
GO:0030518,intracellular steroid hormone receptor signaling pathway,66,121,FALSE
GO:0009725,response to hormone,281,554,FALSE
GO:0033146,regulation of intracellular estrogen receptor signaling pathway,14,30,FALSE
GO:0071407,cellular response to organic cyclic compound,33,364,FALSE
GO:0014070,response to organic cyclic compound,92,460,FALSE
GO:0048545,response to steroid hormone,35,182,FALSE
GO:0033147,negative regulation of intracellular estrogen receptor signaling pathway,10,10,TRUE
GO:0033144,negative regulation of intracellular steroid hormone receptor signaling pathway,28,28,TRUE
GO:0009755,hormone-mediated signaling pathway,45,167,FALSE
GO:0043401,steroid hormone mediated signaling pathway,3,125,FALSE
GO:0032870,cellular response to hormone stimulus,83,481,FALSE
GO:0030520,intracellular estrogen receptor signaling pathway,17,47,FALSE
GO:0035194,posttranscriptional gene silencing by RNA,20,93,FALSE
GO:0040029,regulation of gene expression; epigenetic,32,237,FALSE
GO:0031047,gene silencing by RNA,12,104,FALSE
GO:0016458,gene silencing,16,174,FALSE
GO:0035195,gene silencing by miRNA,11,85,FALSE
GO:0016441,posttranscriptional gene silencing,22,94,FALSE
GO:0048385,regulation of retinoic acid receptor signaling pathway,2,12,FALSE
GO:0048384,retinoic acid receptor signaling pathway,7,18,FALSE
GO:0048387,negative regulation of retinoic acid receptor signaling pathway,5,7,FALSE
GO:0060211,regulation of nuclear-transcribed mRNA poly(A) tail shortening,11,11,TRUE
GO:1900153,positive regulation of nuclear-transcribed mRNA catabolic process; deadenylation-dependent decay,14,16,FALSE
GO:0060213,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,11,11,TRUE
GO:1900151,regulation of nuclear-transcribed mRNA catabolic process; deadenylation-dependent decay,11,16,FALSE
GO:0019827,stem cell population maintenance,54,69,FALSE
GO:2000036,regulation of stem cell population maintenance,7,14,FALSE
GO:0098727,maintenance of cell number,1,70,FALSE
GO:0052805,imidazole-containing compound catabolic process,0,8,FALSE
GO:0006548,histidine catabolic process,8,8,TRUE
GO:0052803,imidazole-containing compound metabolic process,0,10,FALSE
GO:0006547,histidine metabolic process,8,8,TRUE
GO:0009072,aromatic amino acid family metabolic process,23,34,FALSE
GO:0009074,aromatic amino acid family catabolic process,0,29,FALSE
GO:0006575,cellular modified amino acid metabolic process,92,158,FALSE
GO:0042398,cellular modified amino acid biosynthetic process,0,36,FALSE
GO:0035498,carnosine metabolic process,2,2,TRUE
GO:0035499,carnosine biosynthetic process,1,1,TRUE
GO:0060041,retina development in camera-type eye,15,58,FALSE
GO:0048592,eye morphogenesis,10,69,FALSE
GO:0060042,retina morphogenesis in camera-type eye,4,23,FALSE
GO:0003407,neural retina development,6,32,FALSE
GO:0043010,camera-type eye development,18,111,FALSE
GO:0010842,retina layer formation,14,14,TRUE
GO:0090596,sensory organ morphogenesis,13,101,FALSE
GO:0048593,camera-type eye morphogenesis,7,51,FALSE
GO:0034109,homotypic cell-cell adhesion,40,65,FALSE
GO:0001819,positive regulation of cytokine production,266,319,FALSE
GO:0042102,positive regulation of T cell proliferation,66,69,FALSE
GO:0050671,positive regulation of lymphocyte proliferation,5,93,FALSE
GO:0070665,positive regulation of leukocyte proliferation,1,96,FALSE
GO:0032946,positive regulation of mononuclear cell proliferation,6,94,FALSE
GO:0007417,central nervous system development,90,467,FALSE
GO:0030900,forebrain development,10,132,FALSE
GO:0060322,head development,7,336,FALSE
GO:0021854,hypothalamus development,3,5,FALSE
GO:0021761,limbic system development,1,29,FALSE
GO:0007420,brain development,98,319,FALSE
GO:0021536,diencephalon development,1,22,FALSE
GO:0035050,embryonic heart tube development,7,45,FALSE
GO:0043066,negative regulation of apoptotic process,496,631,FALSE
GO:0006915,apoptotic process,231,1349,FALSE
GO:0042981,regulation of apoptotic process,938,1112,FALSE
GO:0043067,regulation of programmed cell death,950,1125,FALSE
GO:0060548,negative regulation of cell death,70,698,FALSE
GO:0008219,cell death,391,1595,FALSE
GO:0010941,regulation of cell death,1055,1221,FALSE
GO:0012501,programmed cell death,355,1482,FALSE
GO:0043069,negative regulation of programmed cell death,24,641,FALSE
GO:0043586,tongue development,2,6,FALSE
GO:0048565,digestive tract development,20,56,FALSE
GO:0055123,digestive system development,1,58,FALSE
GO:0055007,cardiac muscle cell differentiation,9,61,FALSE
GO:0055013,cardiac muscle cell development,7,41,FALSE
GO:0055011,atrial cardiac muscle cell differentiation,0,2,FALSE
GO:0055014,atrial cardiac muscle cell development,1,2,FALSE
GO:0055006,cardiac cell development,4,46,FALSE
GO:0048738,cardiac muscle tissue development,13,110,FALSE
GO:0035051,cardiocyte differentiation,16,87,FALSE
GO:0055001,muscle cell development,39,92,FALSE
GO:0014706,striated muscle tissue development,34,166,FALSE
GO:0060537,muscle tissue development,42,174,FALSE
GO:0055002,striated muscle cell development,33,83,FALSE
GO:0055015,ventricular cardiac muscle cell development,3,6,FALSE
GO:0055012,ventricular cardiac muscle cell differentiation,1,7,FALSE
GO:0060037,pharyngeal system development,9,17,FALSE
GO:0060039,pericardium development,2,11,FALSE
GO:0007342,fusion of sperm to egg plasma membrane involved in single fertilization,11,16,FALSE
GO:0070848,response to growth factor,134,507,FALSE
GO:0030509,BMP signaling pathway,65,112,FALSE
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,89,254,FALSE
GO:0071772,response to BMP,0,118,FALSE
GO:0007167,enzyme linked receptor protein signaling pathway,502,807,FALSE
GO:0071363,cellular response to growth factor stimulus,124,490,FALSE
GO:0071773,cellular response to BMP stimulus,25,118,FALSE
GO:0001960,negative regulation of cytokine-mediated signaling pathway,39,42,FALSE
GO:0060761,negative regulation of response to cytokine stimulus,5,46,FALSE
GO:0008063,Toll signaling pathway,4,5,FALSE
GO:0046661,male sex differentiation,2,52,FALSE
GO:0007548,sex differentiation,11,107,FALSE
GO:0046546,development of primary male sexual characteristics,0,48,FALSE
GO:0045137,development of primary sexual characteristics,1,82,FALSE
GO:0008406,gonad development,44,80,FALSE
GO:0008584,male gonad development,37,47,FALSE
GO:0044262,cellular carbohydrate metabolic process,3,174,FALSE
GO:0034637,cellular carbohydrate biosynthetic process,0,64,FALSE
GO:0006114,glycerol biosynthetic process,2,4,FALSE
GO:0046165,alcohol biosynthetic process,0,115,FALSE
GO:1901615,organic hydroxy compound metabolic process,0,370,FALSE
GO:0006066,alcohol metabolic process,30,252,FALSE
GO:0019400,alditol metabolic process,10,12,FALSE
GO:0019751,polyol metabolic process,19,86,FALSE
GO:0019401,alditol biosynthetic process,0,4,FALSE
GO:0046173,polyol biosynthetic process,0,34,FALSE
GO:1901617,organic hydroxy compound biosynthetic process,0,181,FALSE
GO:0016051,carbohydrate biosynthetic process,0,148,FALSE
GO:0006071,glycerol metabolic process,9,11,FALSE
GO:0046486,glycerolipid metabolic process,5,343,FALSE
GO:0006650,glycerophospholipid metabolic process,226,276,FALSE
GO:0016311,dephosphorylation,51,291,FALSE
GO:0035335,peptidyl-tyrosine dephosphorylation,23,24,FALSE
GO:0006470,protein dephosphorylation,120,187,FALSE
GO:0045912,negative regulation of carbohydrate metabolic process,0,30,FALSE
GO:0006094,gluconeogenesis,38,60,FALSE
GO:0043255,regulation of carbohydrate biosynthetic process,0,55,FALSE
GO:0006006,glucose metabolic process,62,131,FALSE
GO:0045721,negative regulation of gluconeogenesis,9,10,FALSE
GO:0019319,hexose biosynthetic process,1,63,FALSE
GO:0062012,regulation of small molecule metabolic process,1,244,FALSE
GO:0062014,negative regulation of small molecule metabolic process,0,66,FALSE
GO:0010677,negative regulation of cellular carbohydrate metabolic process,1,27,FALSE
GO:0010906,regulation of glucose metabolic process,37,63,FALSE
GO:0046364,monosaccharide biosynthetic process,0,68,FALSE
GO:0006109,regulation of carbohydrate metabolic process,71,102,FALSE
GO:0010675,regulation of cellular carbohydrate metabolic process,70,79,FALSE
GO:0006111,regulation of gluconeogenesis,20,22,FALSE
GO:0007160,cell-matrix adhesion,71,166,FALSE
GO:0031589,cell-substrate adhesion,79,243,FALSE
GO:0019079,viral genome replication,24,103,FALSE
GO:0043901,negative regulation of multi-organism process,10,138,FALSE
GO:1903900,regulation of viral life cycle,92,126,FALSE
GO:0048525,negative regulation of viral process,5,85,FALSE
GO:0045071,negative regulation of viral genome replication,42,49,FALSE
GO:1903901,negative regulation of viral life cycle,0,70,FALSE
GO:0050792,regulation of viral process,130,164,FALSE
GO:0045069,regulation of viral genome replication,64,78,FALSE
GO:0043903,regulation of symbiosis; encompassing mutualism through parasitism,136,178,FALSE
GO:0008585,female gonad development,7,36,FALSE
GO:0046660,female sex differentiation,0,42,FALSE
GO:0046545,development of primary female sexual characteristics,0,37,FALSE
GO:0031669,cellular response to nutrient levels,111,150,FALSE
GO:0009991,response to extracellular stimulus,163,236,FALSE
GO:0009267,cellular response to starvation,103,108,FALSE
GO:0031667,response to nutrient levels,160,223,FALSE
GO:0031668,cellular response to extracellular stimulus,4,160,FALSE
GO:0042594,response to starvation,14,122,FALSE
GO:0071496,cellular response to external stimulus,0,206,FALSE
GO:0071157,negative regulation of cell cycle arrest,17,21,FALSE
GO:0032461,positive regulation of protein oligomerization,22,23,FALSE
GO:0032459,regulation of protein oligomerization,2,38,FALSE
GO:1904808,positive regulation of protein oxidation,1,2,FALSE
GO:1904806,regulation of protein oxidation,0,2,FALSE
GO:0018158,protein oxidation,11,13,FALSE
GO:0046461,neutral lipid catabolic process,0,34,FALSE
GO:0044242,cellular lipid catabolic process,3,179,FALSE
GO:0006641,triglyceride metabolic process,46,72,FALSE
GO:0046464,acylglycerol catabolic process,3,34,FALSE
GO:0046503,glycerolipid catabolic process,0,53,FALSE
GO:0019433,triglyceride catabolic process,20,26,FALSE
GO:0016042,lipid catabolic process,11,217,FALSE
GO:0006638,neutral lipid metabolic process,59,89,FALSE
GO:0006639,acylglycerol metabolic process,59,89,FALSE
GO:0007600,sensory perception,187,377,FALSE
GO:0050877,nervous system process,276,622,FALSE
GO:0050954,sensory perception of mechanical stimulus,69,91,FALSE
GO:0007605,sensory perception of sound,68,86,FALSE
GO:0051050,positive regulation of transport,7,690,FALSE
GO:0032388,positive regulation of intracellular transport,50,165,FALSE
GO:1903829,positive regulation of cellular protein localization,36,257,FALSE
GO:0090313,regulation of protein targeting to membrane,28,29,FALSE
GO:0090150,establishment of protein localization to membrane,21,275,FALSE
GO:0032386,regulation of intracellular transport,168,285,FALSE
GO:1905477,positive regulation of protein localization to membrane,3,96,FALSE
GO:0090316,positive regulation of intracellular protein transport,19,125,FALSE
GO:1904951,positive regulation of establishment of protein localization,5,323,FALSE
GO:1905475,regulation of protein localization to membrane,1,139,FALSE
GO:0006612,protein targeting to membrane,138,174,FALSE
GO:1903533,regulation of protein targeting,28,69,FALSE
GO:0090314,positive regulation of protein targeting to membrane,23,24,FALSE
GO:0006605,protein targeting,279,376,FALSE
GO:0033157,regulation of intracellular protein transport,97,178,FALSE
GO:0051222,positive regulation of protein transport,3,287,FALSE
GO:0036159,inner dynein arm assembly,13,13,TRUE
GO:2000574,regulation of microtubule motor activity,3,8,FALSE
GO:0006869,lipid transport,147,229,FALSE
GO:0034552,respiratory chain complex II assembly,0,4,FALSE
GO:0034553,mitochondrial respiratory chain complex II assembly,4,4,TRUE
GO:0002431,Fc receptor mediated stimulatory signaling pathway,72,76,FALSE
GO:0006897,endocytosis,250,487,FALSE
GO:0038094,Fc-gamma receptor signaling pathway,1,72,FALSE
GO:0006909,phagocytosis,35,187,FALSE
GO:0098657,import into cell,0,561,FALSE
GO:0002252,immune effector process,153,969,FALSE
GO:0038093,Fc receptor signaling pathway,61,118,FALSE
GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,70,71,FALSE
GO:0002433,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,0,71,FALSE
GO:0016569,covalent chromatin modification,2,352,FALSE
GO:0016578,histone deubiquitination,22,23,FALSE
GO:0016570,histone modification,103,338,FALSE
GO:0006325,chromatin organization,239,561,FALSE
GO:0035616,histone H2B conserved C-terminal lysine deubiquitination,4,4,TRUE
GO:0048863,stem cell differentiation,19,141,FALSE
GO:0060541,respiratory system development,2,58,FALSE
GO:0043584,nose development,3,8,FALSE
GO:0090630,activation of GTPase activity,72,82,FALSE
GO:0051255,spindle midzone assembly,9,10,FALSE
GO:0007051,spindle organization,105,154,FALSE
GO:0051225,spindle assembly,29,100,FALSE
GO:0042953,lipoprotein transport,8,8,TRUE
GO:0044872,lipoprotein localization,0,8,FALSE
GO:0009628,response to abiotic stimulus,285,693,FALSE
GO:0070482,response to oxygen levels,9,172,FALSE
GO:0001666,response to hypoxia,126,158,FALSE
GO:0036293,response to decreased oxygen levels,2,161,FALSE
GO:0035329,hippo signaling,26,36,FALSE
GO:0035330,regulation of hippo signaling,11,11,TRUE
GO:0035331,negative regulation of hippo signaling,8,8,TRUE
GO:0060968,regulation of gene silencing,27,84,FALSE
GO:2000637,positive regulation of gene silencing by miRNA,10,20,FALSE
GO:0060966,regulation of gene silencing by RNA,0,52,FALSE
GO:0060964,regulation of gene silencing by miRNA,21,50,FALSE
GO:0060148,positive regulation of posttranscriptional gene silencing,11,21,FALSE
GO:0060147,regulation of posttranscriptional gene silencing,26,52,FALSE
GO:0002833,positive regulation of response to biotic stimulus,10,32,FALSE
GO:0002760,positive regulation of antimicrobial humoral response,0,4,FALSE
GO:0032103,positive regulation of response to external stimulus,31,211,FALSE
GO:0019730,antimicrobial humoral response,86,106,FALSE
GO:0002759,regulation of antimicrobial humoral response,0,4,FALSE
GO:0002920,regulation of humoral immune response,5,58,FALSE
GO:0002831,regulation of response to biotic stimulus,29,104,FALSE
GO:0002922,positive regulation of humoral immune response,4,9,FALSE
GO:0006959,humoral immune response,134,221,FALSE
GO:0007566,embryo implantation,12,24,FALSE
GO:0044706,multi-multicellular organism process,0,87,FALSE
GO:0007565,female pregnancy,39,74,FALSE
GO:0051090,regulation of DNA-binding transcription factor activity,17,351,FALSE
GO:0043433,negative regulation of DNA-binding transcription factor activity,132,137,FALSE
GO:0032088,negative regulation of NF-kappaB transcription factor activity,70,73,FALSE
GO:0032479,regulation of type I interferon production,15,99,FALSE
GO:0032606,type I interferon production,4,99,FALSE
GO:0032480,negative regulation of type I interferon production,39,41,FALSE
GO:0034135,regulation of toll-like receptor 2 signaling pathway,0,10,FALSE
GO:0002224,toll-like receptor signaling pathway,81,123,FALSE
GO:0034136,negative regulation of toll-like receptor 2 signaling pathway,4,5,FALSE
GO:0034121,regulation of toll-like receptor signaling pathway,10,57,FALSE
GO:0034134,toll-like receptor 2 signaling pathway,5,15,FALSE
GO:0034122,negative regulation of toll-like receptor signaling pathway,29,33,FALSE
GO:0034142,toll-like receptor 4 signaling pathway,15,31,FALSE
GO:0034144,negative regulation of toll-like receptor 4 signaling pathway,7,9,FALSE
GO:0034143,regulation of toll-like receptor 4 signaling pathway,1,18,FALSE
GO:0035458,cellular response to interferon-beta,11,12,FALSE
GO:0035456,response to interferon-beta,19,20,FALSE
GO:0050777,negative regulation of immune response,8,89,FALSE
GO:0031348,negative regulation of defense response,57,121,FALSE
GO:0045824,negative regulation of innate immune response,8,35,FALSE
GO:0050728,negative regulation of inflammatory response,52,74,FALSE
GO:0050727,regulation of inflammatory response,110,245,FALSE
GO:0032102,negative regulation of response to external stimulus,26,220,FALSE
GO:0070555,response to interleukin-1,75,125,FALSE
GO:0071347,cellular response to interleukin-1,54,111,FALSE
GO:0071356,cellular response to tumor necrosis factor,75,184,FALSE
GO:0034612,response to tumor necrosis factor,94,199,FALSE
GO:0032570,response to progesterone,11,13,FALSE
GO:0035690,cellular response to drug,87,201,FALSE
GO:1901655,cellular response to ketone,0,37,FALSE
GO:1901654,response to ketone,0,63,FALSE
GO:0071393,cellular response to progesterone stimulus,1,2,FALSE
GO:0031664,regulation of lipopolysaccharide-mediated signaling pathway,3,21,FALSE
GO:0072573,tolerance induction to lipopolysaccharide,1,2,FALSE
GO:0031665,negative regulation of lipopolysaccharide-mediated signaling pathway,8,12,FALSE
GO:0002832,negative regulation of response to biotic stimulus,12,36,FALSE
GO:0002507,tolerance induction,6,16,FALSE
GO:0031663,lipopolysaccharide-mediated signaling pathway,17,38,FALSE
GO:2000379,positive regulation of reactive oxygen species metabolic process,20,65,FALSE
GO:2000377,regulation of reactive oxygen species metabolic process,29,114,FALSE
GO:0009249,protein lipoylation,5,7,FALSE
GO:0018205,peptidyl-lysine modification,32,259,FALSE
GO:0018065,protein-cofactor linkage,7,10,FALSE
GO:2000374,regulation of oxygen metabolic process,1,3,FALSE
GO:2000376,positive regulation of oxygen metabolic process,1,2,FALSE
GO:0072592,oxygen metabolic process,1,4,FALSE
GO:0021537,telencephalon development,6,90,FALSE
GO:0021543,pallium development,0,56,FALSE
GO:0021987,cerebral cortex development,25,43,FALSE
GO:0007613,memory,47,49,FALSE
GO:0007610,behavior,184,225,FALSE
GO:0050890,cognition,34,138,FALSE
GO:0007611,learning or memory,92,104,FALSE
GO:1900273,positive regulation of long-term synaptic potentiation,8,10,FALSE
GO:0098916,anterograde trans-synaptic signaling,225,458,FALSE
GO:0050806,positive regulation of synaptic transmission,35,84,FALSE
GO:0050804,modulation of chemical synaptic transmission,136,199,FALSE
GO:0099177,regulation of trans-synaptic signaling,137,200,FALSE
GO:0060291,long-term synaptic potentiation,21,40,FALSE
GO:0048167,regulation of synaptic plasticity,78,100,FALSE
GO:1900271,regulation of long-term synaptic potentiation,6,20,FALSE
GO:0099536,synaptic signaling,231,463,FALSE
GO:0007268,chemical synaptic transmission,225,458,FALSE
GO:0099537,trans-synaptic signaling,230,462,FALSE
GO:0097688,glutamate receptor clustering,4,6,FALSE
GO:0072578,neurotransmitter-gated ion channel clustering,5,7,FALSE
GO:1904717,regulation of AMPA glutamate receptor clustering,1,2,FALSE
GO:1901626,regulation of postsynaptic membrane organization,2,6,FALSE
GO:1903909,regulation of receptor clustering,1,5,FALSE
GO:0043113,receptor clustering,30,35,FALSE
GO:0050803,regulation of synapse structure or activity,5,93,FALSE
GO:0106104,regulation of glutamate receptor clustering,1,2,FALSE
GO:0099175,regulation of postsynapse organization,5,36,FALSE
GO:0050808,synapse organization,40,186,FALSE
GO:0051668,localization within membrane,34,85,FALSE
GO:0050807,regulation of synapse organization,16,87,FALSE
GO:0001941,postsynaptic membrane organization,9,20,FALSE
GO:0097113,AMPA glutamate receptor clustering,4,6,FALSE
GO:0099173,postsynapse organization,3,70,FALSE
GO:0031214,biomineral tissue development,26,92,FALSE
GO:0030282,bone mineralization,16,70,FALSE
GO:0001503,ossification,39,212,FALSE
GO:0048705,skeletal system morphogenesis,11,106,FALSE
GO:0060349,bone morphogenesis,17,62,FALSE
GO:0043068,positive regulation of programmed cell death,9,448,FALSE
